ID	Original Text	Translated Text
67	Goatee 2	山羊胡子 2
68	Goatee 3	山羊胡子 3
69	Soul Patch	Soul Patch
70	Aviator Cap	飞行员的鸭舌帽
71	Biscuit King Hat (Long)	饼干国王的礼帽 (长型)
72	Biscuit King Hat (Short)	饼干国王的礼帽 (短型)
73	Pixie 1	小精灵 1
74	Long 1	Long 1
75	Long 2	Long 2
76	Ponytail	Ponytail
77	Tucked	Tucked
78	Bun	Bun
79	Wavy	Wavy
80	Pixie 2	小精灵 2
81	Cornrows	Cornrows
82	Bob	Bob
83	CU Captains Hat (Short)	CU 舰长的牛仔帽 (Short)
84	WD Captains Hat (Short)	WD 舰长的牛仔帽 (Short)
85	CU Captains Hat (Long)	CU 舰长的牛仔帽 (Long)
86	WD Captains Hat (Long)	WD 舰长的牛仔帽 (Long)
87	FB Casual Hat	FB 休闲帽子
88	Biscuit Queen Hat (Long)	饼干女王的帽子 (Long)
89	Biscuit Queen Hat (Short)	饼干女王的帽子 (Short)
90	Smooth	Smooth
91	Spiky	Spiky
92	Flared	Flared
93	Spots 1	Spots 1
94	Vertical Stripes	Vertical Stripes
95	Vertical Stripes 2	Vertical Stripes 2
96	Spots 2	Spots 2
97	Horizontal Stripes	Horizontal Stripes
98	Horizontal Stripes 2	Horizontal Stripes 2
99	Spots 3	Spots 3
100	Spiked	Spiked
101	Box	Box
102	Lightweight	Lightweight
103	Eye Implants (Double)	Eye Implants (Double)
104	Eye Implant (Right)	Eye Implant (Right)
105	Eye Patch	Eye Patch
106	Goggles 1	Goggles 1
107	Goggles 2	Goggles 2
108	Goggles 3	Goggles 3
109	Respirator	Respirator
110	Headplate	Headplate
111	Faction Uniform	Faction Uniform
112	C.U. Vice Admiral	C.U. Vice Admiral
113	Sylvassi Suit	Sylvassi Suit
114	Ancient Sylvassi Suit	Ancient Sylvassi Suit
115	Body Type 1	Body Type 1
116	Body Type 2	Body Type 2
117	Civilian Clothes - Robotic Arm	Civilian Clothes - Robotic Arm
118	Civilian Clothes - Robotic Leg	Civilian Clothes - Robotic Leg
119	Civilian Clothes - Stripes	Civilian Clothes - Stripes
120	Lab Coat	Lab Coat
121	Civilian Clothes - Robotic Hand + Foot	Civilian Clothes - Robotic Hand + Foot
122	Civilian Clothes - Solid Colors	Civilian Clothes - Solid Colors
123	Civilian Clothes - Variant	Civilian Clothes - Variant
124	W.D. Vice Admiral	W.D. Vice Admiral
125	Civilian Clothes - Robotic Leg + Arm	Civilian Clothes - Robotic Leg + Arm
126	Model Z	Model Z
127	GX Database	GX Database
128	Welcome to the GX database. $$Input GX ID to access general information.	Welcome to the GX database. $$Input GX ID to access general information.
129	Type	Type
130	Starship	Starship
131	Faction	派系
132	Colonial Union	殖民地联盟
133	Service	Service
134	Military	Military
135	Intrepid-Class Starship	Intrepid-Class Starship
136	An efficient. well-rounded starship designed for combat and exploration. $$Intrepid-class starships are frequently used by the Colonial Union for law enforcement. Additionally they can comfortably support crews for longterm expeditions. An Intrepid often has a good shield capacity and decent maneuverability.	高效、全面的星际飞船.专为战斗和探索而设计.殖民联盟经常使用无畏级星际飞船进行执法.此外.他们可以舒适地支持船员进行长期探险.无畏往往有良好的盾牌能力和体面的机动性.
137	Military. Cargo Transport	军事、货物运输
138	Roland-Class Starship	Roland-Class星际飞船
139	A heavy military vessel often used to bolster the security of Colonial Union outposts and sectors. $$The Roland-class starship is one of the largest models in the Colonial Union Fleet. While it can still be manned by a small crew. it is capable of heavy firepower with four autoturrets in addition to a standard complement of manned turrets. It can also transport massive amounts of cargo. Rolands are often very difficult to maneuver but have high-integrity shields.	一艘重型军舰经常用来加强殖民地联盟前哨和部门的安全.罗兰级星际飞船是殖民联盟舰队中最大的机型之一.虽然它仍然可以由一个小船员载人.但它拥有强大的火力与四个自动炮塔.除了一个标准的载人炮塔补充.它还可以运输大量的货物.罗兰兹通常很难操纵.但有高完整性的盾设备.
140	Research	研究
141	Outrider-Class Starship	Outrider-Class星际飞船
142	Small starship used for Colonial Union research missions.$$Outrider-class starships are not designed for extensive combat and have minimal firepower with only one main turret and one standard turret. However. Outriders are fast and very maneuverable. Each Outrider has an onboard greenhouse that can supply research materials.	用于殖民联盟研究任务的商城星际飞船.先驱者级星际飞船不是专为广泛作战而设计的.火力极小.只有一个主炮塔和一个标准炮塔.但它拥有非凡机动性.每个房间都有一个车载温室.可以提供研究材料.
143	W.D. Corporation	“W.D.公司
144	Cruiser-Class Starship	巡洋舰级星舰
145	Sturdy starship designed for combat and cargo transport. $$The W.D. Corporation frequently uses Cruiser-class starships in transport convoys due to their large cargo capacities and good defenses. Cruisers often emit loud EM signatures and have poor sensors which make them vulnerable in nebulas. Cruisers are inexpensive for the W.D. Corporation to produce and are one of the most common ships in the W.D. Fleet.	坚固的星舰.为战斗和货物运输而设计.$$W.D.公司经常在运输船队中使用巡洋舰级的星舰.因为它们的货物容量大.防御性好.巡洋舰经常发出响亮的电磁信号.而且传感器很差.这使得它们在星云中很脆弱.对于W.D.公司来说.巡洋舰的生产成本很低.是W.D.舰队中最常见的船只之一.
146	Destroyer-Class Starship	驱逐舰级星舰
147	Heavily armored warship designed for security and counterattacks. $$Destroyer-class starships are equipped with exceptional high-integrity hulls with significant armor plating. Having minimal cargo space. they are designed for brief patrols and combat missions. and are inconvenient for longterm space travel. In addition to a main turret and regular turret slot. each Destroyer has two autoturrets and is capable of devastating attack power.	为安全和反击而设计的重装甲战舰.$$毁灭者级星舰配备了特殊的高集成度船体.有大量的装甲板.拥有最小的载货空间.它们被设计用于短暂的巡逻和战斗任务.对于长期的太空旅行是不方便的.除了一个主炮塔和普通的炮塔插槽外.每艘驱逐舰还有两个自动炮塔.能够发挥破坏性的攻击力.
148	Annihilator-Class Starship	歼灭者级星舰
149	Experimental military vessel with a layered hull. $$Recently designed by the W.D. Corporation. Annihilator-class starships are prototypes that have layered hulls. the armor of which increases with hull damage. Annihilators are equipped with experimental ship components and are prone to system fires. Annihilator technology is not yet on the market and is being internally tested by W.D. Corporation employees.	具有分层船体的实验性军舰.$$最近由W.D.公司设计.歼灭者级星舰是具有分层船体的原型.其装甲随着船体的损坏而增加.歼灭者配备了实验性的飞船部件.容易发生系统火灾.歼灭者技术还没有上市.正在由W.D.公司的员工进行内部测试.
150	Military. Research. Transport	军事.研究.运输
151	W.D. Corporation Flagship	W.D. 企业旗舰
152	The largest and most heavily armed warship in the W.D. Fleet. $$The W.D. Flagship took decades to design and construct. and only one exists across all intergalactic branches of the W.D. Corporation. It is rarely used in active duty and is often docked at the W.D. Capital Headquarters. On occasion it is lent to subsidiary branches of the W.D. Corporation for classified operations. Dozens of crewmen are required to manage the Flagship. and the extent of its weaponry is unknown.	W.D.舰队中最大和最全副武装的战舰.W.D.旗舰花了几十年的时间来设计和建造.在W.D.公司的所有星系分支中.只有一艘存在.它很少被用来执行任务.经常停靠在W.D.首都总部.有时.它被借给W.D.公司的附属机构用于机密行动.需要几十名船员来管理这艘旗舰.其武器装备的范围不详.
153	Civilian. Alliance of Gentlemen	平民. 男士联盟
154	Civilian Transport	民用运输
155	Stargazer-Class Starship	观星者级星舰
156	Luxury civilian vessel. $$Stargazers are high-end vessels designed for the comfortable transport of a wealthy traveler and small crew of starship operators. Stargazers are often targeted by raiders and hijackers due to their likelihood of transporting expensive goods. as well as their conversion potential to ships with cloaking capabilities and heavy weaponry.	豪华民用船只.观星船是高端船只.设计用于舒适地运送富有的旅行者和小规模的星舰操作员.追星族经常被突击队员和劫持者盯上.因为他们有可能运输昂贵的货物.同时.他们也有可能转化为具有隐身能力和重型武器的船只.
157	Cargo Transport	货物运输
158	Carrier-Class Starship	航母级星舰
159	Civilian cargo hauler. $$Carrier-class starships are designed for longterm cargo shipments. They are frequently used by contract crews that are hired by stations. factories. and mining bases to transport goods. Carriers are a favorite of smugglers as they can be converted to have hidden cargo rooms for sneaking contraband past Colonial Union inspection stations.	民用货物运输机.$$航母级星舰是为长期货物运输而设计的.它们经常被车站、工厂和采矿基地雇用的合同船员用来运输货物.航母是走私者的最爱.因为它们可以被改装成有隐蔽的货舱.以便在殖民地联盟的检查站前偷运违禁品.
160	Old Wars Sylvassi Fleet	古代战争中的希尔瓦西舰队
161	Sylvassi Swordship	西尔瓦西利刃
162	Archaic ship from the Sylvassi Fleet of the Old Wars Era. $$Sylvassi Swordships in active service have been retrofitted with modern ship systems and weaponry. Each Swordship possesses a highly efficient cloaking system as well as a powerful beam weapon referred to as a ‘Sword’. During the Old Wars. Swordships used their cloaking and beam weapons in conjunction to ambush human warships.	古代战争时代西尔瓦西舰队的古船.$$西尔瓦西利刃在现役中已经被改装了现代船舶系统和武器装备.每艘剑舰都拥有高效的隐身系统.以及被称为 "剑 "的强大光束武器.在旧时代的战争中.利刃舰利用他们的隐身和光束武器来伏击人类战舰.
163	Old Wars Human Fleet	古代战争中的人类舰队
164	Interceptor-Class Starship	拦截器级星舰
165	Archaic ship from the Human Fleet of the Old Wars Era. $$Interceptor-class starships in active service have been retrofitted with modern ship systems and weaponry. Interceptors do not have shield generators. but instead have incredibly durable hulls designed to withstand significant damage and be repaired mid-battle with scrap parts.	古代战争时代人类舰队的古老飞船.$$现役的拦截者级星舰已经被改装了现代飞船系统和武器装备.拦截者没有护盾发生器.而是拥有非常耐用的船体.可以承受巨大的破坏.并且可以在战斗中用废旧零件进行修复.
166	Civilian	平民
167	SunCircler Nomad 5	太阳神游牧者5
168	Economic civilian transport ship. $$SunCircler Industries’ Nomad 5 model starship is often used by civilians for small local journeys. Nomad 5 ships are not designed for space combat and have very limited firepower with only one main turret and one standard turret for emergency defense purposes. 	经济型民用运输船.$$太阳神工业公司的游牧者 5型星际飞船经常被平民用于当地的小型旅行.游牧者5号船不是为太空作战而设计的.其火力非常有限.只有一个主炮塔和一个标准炮塔用于紧急防御.
169	Fluffy Biscuit Co.	毛绒的饼干公司
170	Fluffy One	毛茸茸的一个
171	Delivery ship for the Fluffy Biscuit Company. $$The Fluffy One starship is exclusively used for the delivery and sale of biscuits. Each Fluffy One has an integrated freezer to store crates of perishable products. The Fluffy One is not designed for intense combat and comes equipped with a special ‘Biscuit Bomb’ which emits an electromagnetic pulse that can disable nearby enemy vessels.	蓬松饼干公司的运送船.$$蓬松一号星舰专门用于运送和销售饼干.每艘 "蓬松一号 "都有一个集成的冰柜.用来储存成箱的易腐烂产品.蓬松一号不是为激烈的战斗而设计的.它配备了一个特殊的 "饼干炸弹".可以发射电磁脉冲.使附近的敌方船只失效.
172	Small Starship	小型星舰
173	All	全开
174	Tracking	追踪
175	Bounty Hunter Ship	赏金猎人船
176	Small ship for one passenger. $$Often used by bounty hunters due to its advanced tracking capabilities. This ship is meant to get a bounty hunter close to a target vessel. teleport onto it. and eliminate the crew from the inside. $$Bounty hunter ships are not designed for a full crew. They cannot be boarded.	可容纳一名乘客的小船.$$由于其先进的追踪能力.经常被赏金猎人使用.这种船是为了让赏金猎人接近目标船只.传送到船上.并从内部消灭船员.赏金猎人的船不是为全体船员设计的.它们不能被登上.
177	Unmanned Drone	无人机
178	Security	安全性
179	Tier 3 Drone	3级无人机
180	Common drone used for patrolling or scouting low risk sectors. $$Depending on the faction by which they are employed. tier 3 drones are called CU Rangers. WD Scouts. or Bandit Clunkers. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	普通无人机.用于巡逻或侦察低风险区域.3级无人机被称为CU别动队.WD侦察兵.或强盗笨重者.无人机不由船员操作.也没有飞船内部.它们不能被登船.
181	Tier 2 Drone	2级无人机
182	Midrange drone with good combat capabilities. $$Depending on the faction by which they are employed. tier 2 drones are called CU Guardians. WD Warriors. or Bandit Rippers. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	具有良好战斗力的中程无人机.二级无人机被称为CU守护者.取决于它们被雇用的派系.WD勇士.或强盗撕裂者.无人机不是由船员操作的.也没有船舱内饰.它们不能被登船.
183	Tier 1 Drone	1级无人机
184	Superior drone that has powerful combat capabilities and can debilitate enemy ships with viruses. Often used in the security of high risk sectors. $$Depending on the faction by which they are employed. tier 1 drones are called CU Arbiters. WD Vindicators. or Bandit Marauders. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	高级无人机.具有强大的作战能力.可以用病毒削弱敌方舰艇.常常被用于高风险区域的安全.1级无人机被称为CU仲裁者.WD 维护者.或强盗掠夺者.无人机不由船员操作.也没有飞船内部.它们不能被登船.
185	Maintenance	维护
186	Overseer Drone	监督者无人机
187	Drone that can repair other drones in a sector. $$Overseer drones are used to maintain a faction’s security drones and support them in combat should an intruder launch an attack. They will continue to repair their allied drones until destroyed. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	可以修复一个区的其他无人机的无人机.$$监督者无人机用于维护一个派别的安全无人机.并在入侵者发起攻击时支持他们作战.他们会继续修理他们的盟友无人机.直到被摧毁.无人机不是由船员操作的.也没有船的内部结构.它们不能被登上.
188	Unaligned	不结盟或不一致
189	Shock Drone	冲击式无人机
190	Small spherical drone equipped with lightning turrets. $$Shock drones often have decent attack power. but they can also be used to disable ships. Shock drones are outfitted with lightning turrets. which have a small chance of shutting down enemy vessels. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	小型球形无人机.配有闪电炮塔.$$冲击式无人机通常具有相当的攻击力.但它们也可以用来使舰艇失效.冲击型无人机装备有闪电炮塔.有小概率关闭敌人的船只.$$无人机不是由船员操作的.也没有船的内饰.它们不能被登船.
191	Phase Drone	相位无人机（不可登陆）
192	A drone that can disappear and reappear at another position in short range. $$Phase drones are difficult to lock onto with sensors and targeting. They are outfitted with phase turrets. which are not particularly damaging to hulls but deal bonus damage to ship systems. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	一种能在短距离内消失并重新出现在另一位置的无人机.$$相位无人机很难被传感器和瞄准器锁定.它们装备有相位炮塔.对船体的伤害不是特别大.但对船体系统有额外的伤害.无人机不是由船员操作的.也没有舰船的内部结构.它们不能被登船.
193	Deathseeker	敢死队
194	Drone with powerful frontal saws that can ram into ships and rip apart their hulls. $$Deathseekers will often take the most direct path towards an enemy ship. regardless of any other obstacles in the way. $$Drones are not operated by crewmen and do not have ship interiors. They cannot be boarded.	无人机具有强大的正面破坏性.可以冲撞船只并撕开其船体.$$敢死队通常会采取最直接的路径冲向敌舰.不管路上是否有其他障碍物.$$无人机不是由船员操作的.也没有船的内部结构.它们不能被登上.
195	Beacon	信标
196	Support	辅助型
197	Broadcasting tower that emits a sector-wide signal. $$A beacon often boosts. reduces. or changes certain aspects of ship function in a sector. It will affect all nearby ships regardless of faction. $$Beacons cannot be boarded.	发出全区信号的广播塔.$A信标经常提升.降低.或改变一个区域内的某些方面的飞船功能.它将影响到附近所有的船只.而不分派别.$$信标不能被登上.
198	Space Hazard	危险区域
199	Threat Level	威胁等级
200	Minor	小型
201	Debris	碎片
202	Often asteroids or large remnants of destroyed ships or machinery. $$Pilots should use caution when flying through space debris as it is occasionally littered with mines and can be hazardous to maneuver through. Much space debris has been stripped of useful components. but it can sometimes contain salvageable scrap or research materials. Sectors filled with debris from pre-Union Era warships are sometimes referred to as ‘graveyards’.	通常是小行星或被摧毁的船只或机器的大型残余物.$$飞行员在飞过空间碎片时应谨慎行事.因为它偶尔会有地雷.在其中操纵可能会很危险.许多空间碎片已经被剥离了有用的部件.但它有时会包含可回收的废品或研究材料.充满了联盟时代以前的战舰碎片的区域有时被称为 "墓地".
203	Minefield	雷区
204	Explosive devices that are triggered upon close proximity with an oncoming vessel. $$When activated by proximity to a ship. mines can inflict serious hull damage. They can be detonated from afar with beam weapons. Mines are often found among space debris. as some mining companies use mines to break up asteroids and wreckage. Scrappers also use mines to deter other ships from scavenging profitable sites. 	在接近来往船只时触发的爆炸性装置.当接近船只时被激活.地雷可以造成严重的船体损伤.它们可以用光束武器从远处引爆.地雷经常出现在空间碎片中.因为一些采矿公司使用地雷来分解小行星和残骸.铲运者也使用地雷来阻止其他舰艇搜刮有利可图的地点.
205	Major	主要的
206	The Infected	感染者
207	A group of organisms that grow at alarming rates. $$The Infected rapidly spread through a galaxy. Sectors occupied by the Infected are filled with an acidic substance that damages the shields and hulls of ships. The large Infected creatures. called Carriers. release pods that latch onto ship hulls and deliver small Crawlers that attack from the inside. The Colonial Union urges ships to avoid Infected sectors at all cost. $$UNION PROTOCOL: WARP IMMEDIATELY	一种以惊人速度增长的生物体.感染者迅速在一个星系中传播.被感染者占据的区域充满了一种酸性物质.可以破坏飞船的护盾和船体.大型的感染者生物被称为 "载体".它们释放的吊舱会吸附在船体上.并提供小型爬虫.从内部进行攻击.殖民联盟敦促船只不惜一切代价避开被感染的区域.美元联盟协议：立即进行曲速飞行
208	Black Hole	黑洞
209	Stellar object with extreme gravity. $$The Colonial Union urges that any ship in close proximity to a black hole warp out of the sector immediately. $$UNION PROTOCOL: WARP IMMEDIATELY	具有极端引力的恒星物体.$$殖民联盟敦促任何接近黑洞的飞船立即跳跃离开该区.$$联盟协议：立即跳跃
210	Nebula	星云
211	Cloud of dust and gas. $$When in a nebula. sensor ranges are severely limited and long range communications are disabled. The Colonial Union urges ships to be vigilant when traveling through nebulas as they are often spots of increased raider and hijacker activity.	尘埃和气体的云.当在星云中时.传感器的范围受到严重限制.远距离通信也被禁用.殖民地联盟敦促船只在穿越星云时保持警惕.因为它们通常是突袭者和劫持者活动增加的地点.
212	Star	星级
213	Large sphere of burning gas. $$If a ship exits warp too close to a star. the ship may overheat and fires may begin to spawn. It is recommended to get reactor heat under control and warp out of the sector immediately. $$UNION PROTOCOL: WARP IMMEDIATELY	燃烧气体的大球体.如果飞船在离恒星太近的地方退出曲速.飞船可能会过热并开始产生火灾.建议控制好反应堆的热量并立即曲速离开该区域.$$union协议：立即曲速
214	More Topics	其他问题
215	Outpost 448 is the main Colonial Union station in this galaxy. It is a major hub for trade and scientific research.	448号前哨站是殖民联盟在这个星系的主要站点.它是贸易和科学研究的主要枢纽.
216	Outpost 448	前哨站 448
217	The market division is located on the upper level of the station. Continue straight ahead to the central platform and take the first ramp on your right.	市场部位于车站的上层.继续直走到中央站台.走右边的第一个坡道.
218	Trade	贸易
219	An emergency protocol was recently carried out to ensure the continued safety of Outpost 448's inhabitants. There is no reason for concern; the situation has been resolved.	最近执行了一项紧急协议.以确保448号哨所居民的持续安全.现在不用担心了；因为情况已经得到解决.
220	Destroyed Section of Station	被摧毁的车站部分
221	Since you've been granted access to the Command Center. you would know more about the Wasted Wing than I do. If you have any questions. you should consult a superior officer.	既然你已经被允许进入指挥中心.你会比我更了解废墟之翼.如果你有任何问题.你应该向上级官员咨询.
222	What. this sandwich? It's my lunch. Get your own.	什么.这个三明治.这是我的午餐.你自己去拿吧.
223	Dehydrated Sandwich on Desk	桌子上的脱水三明治
224	What do you want to know?	你想知道什么.
225	How can I help?	我能帮助什么.
226	What do you need?	你需要什么.
227	Questions	 问题
228	Welcome to Colonial Union Outpost 448. Please ensure that you are not in possession of illicit items or cargo. as they will not be permitted in the Colonial Union zone. If you have questions about Outpost 448. I can answer them for you. Otherwise. enjoy your visit. Together. we survive.	欢迎来到殖民联盟的448号前哨.请确保你没有携带非法物品或货物.因为它们将不被允许进入殖民地联盟区.$$如果你有关于448号前哨站的问题.我可以为你解答.或者.请享受您的到来.只有团结起来.我们才能生存.
229	I could really use a sandwich right about now. If you could get me one. I'd be very appreciative.	我现在真的需要一个三明治.如果你能给我一个.我会非常感激的.
230	Yes	是的
231	Oh... Don't mind me then.	哦......那就别管我了.
232	No	不行
233	…I lost my papers. And my identification card. Don’t mind me. I’m just waiting for another civilian ship to come by. Maybe I can get a ride back home... Do you think you could get me some food. by any chance?	…我丢失了我的证件.还有我的身份证.不要管我.我只是在等待另一艘民船的到来.也许我可以搭车回家... ... 你认为你能给我一些食物吗.
234	Thank you. You're very generous. Take some credits for your troubles.	谢谢你.你非常慷慨.为了我的麻烦.我原意拿点贸易货币给你.
235	Hello again. Were you able to find a sandwich for me?	又见面了.你能为我找到一个三明治吗.
236	Thank you again for the sandwich. I'll just wait here for the next civilian ship.	再次感谢你的三明治.我就在这里等着下一艘民用船吧.
237	I wonder how much longer I'll have to wait for a civilian ship to stop by. I'm getting quite hungry.	我想知道我还要等多久才会有民船停下来.我现在已经相当饿了.
238	Our crew is here at 448 to drop off a supply shipment. Unfortunately. there was a mix-up with some shipping logs. My brothers and I have been here longer than expected. I’m just ready to get back to our ship and leave for the next cargo run.	我们的工作人员在448号公路上送来了一批补给品.不幸的是.一些运输记录出现了混乱.我和我的兄弟们在这里的时间比预期的长.我正准备回到我们的船上.为下一次的货物运输而出发.
239	Hey. if you find my other brother out there in the hub. tell him to hurry up and get back here.	嘿.如果你发现我的另一个兄弟在外面.告诉他快点回到这里.
240	We heard of a ship that answered a distress beacon. but it was an ambush. The crew was lured in. willing to aid some poor fellow and hoping for a modest reward. And then their ship was blown to pieces. Who would do something like that?	我们听说有一艘船回应了一个求救信号.大伙都愿意帮助一些可怜的家伙.但谁能想到这是一个伏击.船员们被引诱进陷阱.并希望得到适度的奖励.最后他们的船被炸成了碎片.下一次谁还会做这样的事.
241	You're asking me? Well then. my suspicions have been confirmed correct. Even you Colonial Union officers have no idea what happened. If that's the case. then only those with access to the Command Center are likely to know anything.	你在问我.那么.我的怀疑已经被证实是正确的.即使是你们殖民地联盟的官员也不知道发生了什么.如果是这样的话.那么只有那些能进入指挥中心的人.才有可能知道什么.
242	Ah. the Wasted Wing. I prefer not to add kindling to rumors. but something big must have happened there for the Command Center to initiate such a drastic protocol. I wish I could tell you more. but I'm just a civilian. You'd have a better chance asking a Colonial Union officer. Although. I doubt even most of them know what really happened.	啊."废墟之翼".我不喜欢给谣言添加火种.但那里一定发生了什么大事.指挥中心才会启动这样一个激烈的协议.我希望我能告诉你更多.但我只是个平民.你问殖民地联盟的官员会有更好的机会.虽然.我甚至怀疑他们中的大多数人都知道到底发生了什么.
243	Haven’t seen your face around here. Did your ship get in recently? Better grab your supplies fast. Things are going to hell as of late.	好久没再这里看到你了.你的船来了吗.最好快点拿上你的货物.最近的事情让这里都快变成地狱了.
244	You're asking me? Aren't you a famous Colonial Union officer? I should be asking you about what happened in the Wasted Wing.	你在问我.你不是一个著名的殖民地联盟官员吗.我应该问你在废墟之翼发生了什么.
245	Hello again. I hope you're faring well.	又见面了.我希望你过得很好.
246	If you're looking for shops you can trust. stick to places like Outpost 448. the Harbor. and automated trading stations. They run legitimate businesses. Anywhere else. and you're bound to stumble upon repurposed or stolen merchandise.	如果你在寻找你可以信任的商店.请坚持去像448号前哨站、港口和自动交易站这样的地方.他们经营合法的生意.在其他地方.你一定会遇到被重新利用或偷窃的商品.
247	...Our captain is up to no good. I don't want to get into the details. but he seems to be running some illegal deals. I had heard some dark rumors about our captain before I joined. but I never believed a man like him could be anything but honorable. He's the sort of man who looks you in the eye when you speak. And that's what makes it so much harder to turn him in.	...我们的船长不务正业.我不想谈细节.但他似乎在进行一些非法交易.在我加入之前.我听说过一些关于我们队长的黑暗传闻. 但我从不相信像他这样的人除了正直之外还能有什么其他表现.他是那种在你说话时看着你的眼睛的人.而这也是让我更难告发他的原因.
248	They say this hub was first built from the melted scraps of old. retired warships. Sure. most of it has been stripped and rebuilt over recent years. But the core. the soul of this base has seen worse times than these.	他们说.这个枢纽最初是由退役的旧军舰的熔化废料建成的.当然.它的大部分都在最近几年里被拆除和重建了.但这个基地的核心和灵魂却经历了比这更糟糕的时期.
249	This is the main Colonial Union outpost in the galaxy. It was first established as a supply station in 3144 UE by a Sylvassi named Anatu. Over the following decades. it functioned as a small waypoint for fringe voyagers until a more recent influx of trade. mining. and discovery expeditions came to this galaxy. Outpost 448 has since expanded into a fully operational Colonial Union hub. and now serves as a center for trade among several different factions. It also houses one of the Colonial Union's most prestigious space fleet academies. as well as Union-authorized research labs.	这是殖民联盟在银河系的主要前哨.它最初是在3144 UE由一个叫Anatu的Sylvassi建立的一个补给站.在接下来的几十年里.它一直是边缘航行者的一个小航点.直到最近大量的贸易、采矿和探索探险队涌入这个星系.448号前哨站后来扩展为一个$$全面运作的殖民联盟中心.现在是几个不同派别之间的贸易中心.它也是殖民联盟最著名的太空舰队学院之一.$$以及联盟授权的研究实验室.
250	If you're looking to resupply. go the upper level of the station. There are several shops open that would be happy to do business with you.	如果你想补给.就去车站的上层.有几家商店开放.他们会很乐意与你做生意.
251	An emergency protocol was carried out to ensure the continued safety of Outpost 448’s inhabitants. We assure you. the situation has been resolved. There is no reason for concern.	为了确保448号哨所居民的持续安全.我们执行了一项紧急协议.我们向你保证.情况已经得到解决.没有必要再担心了.
252	I heard you were granted access to the Command Center. If that's the case. then you have more information than I do. Good luck with whatever missions the Command Center assigns you.	我听说你获得了进入指挥中心的权限.如果是这样的话.那么你比我有更多的信息.祝你在指挥中心分配给你的任何任务中好运.
253	What would you like to know?	你想知道什么.
254	What are you interested in learning about?	你对学习什么感兴趣.
255	How may I help?	我该如何帮助.
256	Welcome to Colonial Union Outpost 448! If you have any questions. I would be happy to answer them for you. Please enjoy your visit. and be sure to stock up on supplies before you go. For together. we survive.	欢迎来到殖民地联盟前哨448号! 如果你有任何问题.我很乐意为您解答.请享受您的访问.在您离开之前.请务必储备好物资.因为在一起.我们才能生存.
